DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
02/07/2025;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-64.24;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
06/07/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-105.24;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
07/07/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-77.68;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
09/07/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-97.55;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
11/07/2025;CARD_TRANSACTION_OUT;"""CFF MOBILE""";-44.75;CHF;;;**** 1150;Genève;"""CFF MOBILE""";;0;;;;
11/07/2025;CARD_TRANSACTION_OUT;"""NETFLIX""";-20.91;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
14/07/2025;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-48.72;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
14/07/2025;CARD_TRANSACTION_OUT;"""RESTAURANT LE LYRIQUE""";-54.85;CHF;;;**** 1150;Genève;"""RESTAURANT LE LYRIQUE""";;0;;;;
15/07/2025;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-36.83;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
20/07/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-64.71;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
01/08/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-104.31;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
02/08/2025;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-68.38;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
06/08/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-70.48;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
08/08/2025;CARD_TRANSACTION_OUT;"""MIGROS GENEVE""";-120.89;CHF;;;**** 1150;Genève;"""MIGROS GENEVE""";;0;;;;
08/08/2025;CARD_TRANSACTION_OUT;"""NETFLIX""";-17.98;CHF;;;**** 1150;Genève;"""NETFLIX""";;0;;;;
16/08/2025;CARD_TRANSACTION_OUT;"""MANOR FOOD""";-53.09;CHF;;;**** 1150;Genève;"""MANOR FOOD""";;0;;;;
18/08/2025;CARD_TRANSACTION_OUT;"""PHARMACIE PRINCIPALE""";-34.87;CHF;;;**** 1150;Genève;"""PHARMACIE PRINCIPALE""";;0;;;;
19/08/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-70.28;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
04/09/2025;CARD_TRANSACTION_OUT;"""TPG ABONNEMENT""";-67.95;CHF;;;**** 1150;Genève;"""TPG ABONNEMENT""";;0;;;;
05/09/2025;CARD_TRANSACTION_OUT;"""COOP PFISTER""";-87.89;CHF;;;**** 1150;Genève;"""COOP PFISTER""";;0;;;;
