DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
28/07/2025;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;276.94;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
25/08/2025;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;221.71;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
27/09/2025;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;242.74;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
26/10/2025;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;231.09;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
27/11/2025;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;221.44;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
27/12/2025;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;229.44;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
28/01/2026;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;265.79;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
27/02/2026;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;227.19;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
25/03/2026;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;250.35;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
25/04/2026;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;240.21;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
25/05/2026;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;263.07;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
28/06/2026;CARD_TRANSACTION_OUT;"""VERSEMENT EPARGNE YUH""";;CHF;261.31;CHF;;Genève;"""VERSEMENT EPARGNE YUH""";;0;;;;
